pair_id,source_id,tier,source_repo,repo_commit,redirect_file,old_url_path,new_url_path,status_code,rule_type,included_in_core_eval,raw_rule,raw_source,raw_target,conditions
b4b9504d3e89011ce3df,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/swift/build-a-backend/functions/dynamodb-from-lambda-python,/swift/build-a-backend/functions,301,unknown,false,"{""source"": ""/swift/build-a-backend/functions/dynamodb-from-lambda-python/"", ""status"": ""301"", ""target"": ""/swift/build-a-backend/functions/""}",/swift/build-a-backend/functions/dynamodb-from-lambda-python/,/swift/build-a-backend/functions/,
a6d7983e16e7b5e49554,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/android/build-a-backend/functions/dynamodb-from-lambda-python,/android/build-a-backend/functions,301,unknown,false,"{""source"": ""/android/build-a-backend/functions/dynamodb-from-lambda-python/"", ""status"": ""301"", ""target"": ""/android/build-a-backend/functions/""}",/android/build-a-backend/functions/dynamodb-from-lambda-python/,/android/build-a-backend/functions/,
ec302288598f56645aec,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/angular/build-a-backend/functions/dynamodb-from-lambda-python,/angular/build-a-backend/functions,301,unknown,false,"{""source"": ""/angular/build-a-backend/functions/dynamodb-from-lambda-python/"", ""status"": ""301"", ""target"": ""/angular/build-a-backend/functions/""}",/angular/build-a-backend/functions/dynamodb-from-lambda-python/,/angular/build-a-backend/functions/,
34d802155c7924cd762c,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/nextjs/build-a-backend/functions/dynamodb-from-lambda-python,/nextjs/build-a-backend/functions,301,unknown,false,"{""source"": ""/nextjs/build-a-backend/functions/dynamodb-from-lambda-python/"", ""status"": ""301"", ""target"": ""/nextjs/build-a-backend/functions/""}",/nextjs/build-a-backend/functions/dynamodb-from-lambda-python/,/nextjs/build-a-backend/functions/,
6b39602d4f4ba25abb5a,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/react/build-a-backend/functions/dynamodb-from-lambda-python,/react/build-a-backend/functions,301,unknown,false,"{""source"": ""/react/build-a-backend/functions/dynamodb-from-lambda-python/"", ""status"": ""301"", ""target"": ""/react/build-a-backend/functions/""}",/react/build-a-backend/functions/dynamodb-from-lambda-python/,/react/build-a-backend/functions/,
481f413c5049ae122805,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/vue/build-a-backend/functions/dynamodb-from-lambda-python,/vue/build-a-backend/functions,301,unknown,false,"{""source"": ""/vue/build-a-backend/functions/dynamodb-from-lambda-python/"", ""status"": ""301"", ""target"": ""/vue/build-a-backend/functions/""}",/vue/build-a-backend/functions/dynamodb-from-lambda-python/,/vue/build-a-backend/functions/,
db123c1f15efbdeef100,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/functions/graphql-from-lambda/q/platform/ios,/swift/build-a-backend/functions/graphql-from-lambda,301,unknown,false,"{""source"": ""/guides/functions/graphql-from-lambda/q/platform/ios/"", ""status"": ""301"", ""target"": ""/swift/build-a-backend/functions/graphql-from-lambda/""}",/guides/functions/graphql-from-lambda/q/platform/ios/,/swift/build-a-backend/functions/graphql-from-lambda/,
dd36469a4fcc8c84dbe6,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/functions/graphql-from-lambda/q/platform/js,/javascript/build-a-backend/functions/graphql-from-lambda,301,unknown,false,"{""source"": ""/guides/functions/graphql-from-lambda/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/build-a-backend/functions/graphql-from-lambda/""}",/guides/functions/graphql-from-lambda/q/platform/js/,/javascript/build-a-backend/functions/graphql-from-lambda/,
3468e20d0bad954e403e,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/functions/graphql-server-in-lambda/q/platform/ios,/swift/build-a-backend/functions,301,unknown,false,"{""source"": ""/guides/functions/graphql-server-in-lambda/q/platform/ios/"", ""status"": ""301"", ""target"": ""/swift/build-a-backend/functions/""}",/guides/functions/graphql-server-in-lambda/q/platform/ios/,/swift/build-a-backend/functions/,
ef802d6c9643ef42de49,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/guides/functions/graphql-server-in-lambda/q/platform/js,/javascript/build-a-backend/functions,301,unknown,false,"{""source"": ""/guides/functions/graphql-server-in-lambda/q/platform/js/"", ""status"": ""301"", ""target"": ""/javascript/build-a-backend/functions/""}",/guides/functions/graphql-server-in-lambda/q/platform/js/,/javascript/build-a-backend/functions/,
c5f31522bca4686eda1f,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/javascript/build-a-backend/functions/graphql-server-lambda,/javascript/build-a-backend/functions,301,unknown,false,"{""source"": ""/javascript/build-a-backend/functions/graphql-server-lambda/"", ""status"": ""301"", ""target"": ""/javascript/build-a-backend/functions/""}",/javascript/build-a-backend/functions/graphql-server-lambda/,/javascript/build-a-backend/functions/,
46582434b787cbe31d64,aws_amplify_docs,tier1,aws-amplify/docs,23f0406663733992d4fb33405df34f1ef0cdd883,redirects.json,/swift/build-a-backend/functions/graphql-server-lambda,/swift/build-a-backend/functions,301,unknown,false,"{""source"": ""/swift/build-a-backend/functions/graphql-server-lambda/"", ""status"": ""301"", ""target"": ""/swift/build-a-backend/functions/""}",/swift/build-a-backend/functions/graphql-server-lambda/,/swift/build-a-backend/functions/,
